,day,size,250,out_250,500,out_500,1000,out_1000,2000,out_2000
0,2024-02-04 00:00:00,30,0.35348027088103273,0,0.4181960356307003,0,0.10679400927917432,0,-0.2777354315766515,0
0,2024-02-03 00:00:00,30,0.2574938585560588,1,0.24814471862168455,1,0.3988889419177892,0,0.22646913263350602,0
0,2024-02-02 00:00:00,30,0.16749363191423464,0,0.1895572325865362,0,0.35294398668826876,1,0.044788696397805104,0
0,2024-02-01 00:00:00,30,0.2972505765466618,0,0.247678825511581,0,0.36449720755400694,0,0.22053473284037298,0
0,2024-01-31 00:00:00,30,0.28892404061992794,1,0.19008119478926813,0,0.43158428137811605,0,0.2450961964628841,0
0,2024-01-30 00:00:00,30,0.3221712881776625,0,0.23059369085471412,2,0.49567463825200103,1,0.3065817054375345,1
0,2024-01-29 00:00:00,30,0.28467013412061304,1,0.41711650212254603,0,0.4736935209563473,0,0.27833454325032986,0
0,2024-01-28 00:00:00,30,0.34763780756651375,0,0.3828677912327789,0,0.4372466978844256,0,0.22511862815406405,0
0,2024-01-27 00:00:00,30,0.15425566660788909,0,0.04922330888149208,0,0.19721595454102317,0,-0.1833813985851296,0
0,2024-01-26 00:00:00,30,0.025669947094483603,0,-0.27179474057943565,0,-0.11176044298387101,0,-0.3984957548786068,0
0,2024-01-25 00:00:00,30,0.3214311302571811,0,0.2627604209364343,0,0.4016057604263191,0,0.36998616709397375,0
0,2024-01-24 00:00:00,30,0.3587982417769459,0,0.2738515135703385,0,0.4312105731414889,0,0.2478175661392907,2
0,2024-01-23 00:00:00,30,0.21599585646339803,0,0.16876303160993245,0,0.311908865631554,0,-0.11538327763709136,0
0,2024-01-22 00:00:00,30,0.2994885975693208,0,0.2567945367495437,0,0.3569834614133596,3,0.27061195238460184,0
0,2024-01-21 00:00:00,30,0.3357212608945306,0,0.26396925487487555,0,0.4081047418058056,3,0.31596371865985695,0
0,2024-01-20 00:00:00,30,0.24410401014110444,0,0.17723573794074599,0,0.3935001080251537,0,0.27299366797011093,0
